profile_id,age,annual_income,income_sources,tax_return_filed,late_filing_count,outstanding_dues,previous_default_count,income_growth_rate,deduction_claim_ratio,tax_compliance_score,compliance_risk
TAXP00109,54,1190300,Salary,1,2,0,0,0.331,0.415,0.834,Low
TAXP00110,51,187400,Salary+Business,1,0,0,0,0.124,0.251,0.964,Low
TAXP00111,39,888700,Salary+Investments,1,0,3700,0,0.159,0.179,0.973,Low
TAXP00112,25,771300,Salary,1,0,0,0,0.149,0.355,0.949,Low
TAXP00113,44,423800,Salary,1,2,0,0,0.246,0.299,0.84,Low
TAXP00114,53,229500,Salary+Business,1,1,9500,0,0.087,0.371,0.857,Low
TAXP00115,42,684600,Professional,1,0,0,0,-0.137,0.529,0.938,Low
TAXP00116,33,444000,Salary,1,0,17000,0,0.152,0.105,0.891,Low
TAXP00117,47,768500,Salary,1,1,0,0,-0.121,0.082,0.87,Low
TAXP00118,50,660300,Business,1,2,0,0,0.391,0.149,0.859,Low
TAXP00119,47,2059600,Business,1,1,16200,0,0.042,0.156,0.841,Low
TAXP00120,60,547100,Salary,1,0,5000,1,0.092,0.367,0.962,Low
TAXP00121,35,311100,Salary,1,1,0,1,-0.008,0.294,0.836,Low
TAXP00122,48,739600,Salary,1,0,3100,2,0.154,0.292,0.821,Low
TAXP00123,59,761600,Salary,1,0,9200,0,0.173,0.085,0.911,Low
TAXP00124,30,1729500,Business,1,0,29400,0,-0.009,0.066,0.816,Low
TAXP00125,33,1185900,Professional,1,1,0,0,0.172,0.315,0.941,Low
TAXP00126,23,840400,Business,1,2,0,0,0.111,0.247,0.882,Low
TAXP00127,37,1864100,Salary,0,0,11700,1,0.085,0.126,0.687,Medium
TAXP00128,23,276200,Salary,1,1,7600,0,-0.02,0.234,0.935,Low
TAXP00129,54,410100,Salary+Investments,1,0,0,1,0.47,0.126,0.952,Low
TAXP00130,24,333600,Business,1,1,0,0,0.289,0.049,0.979,Low
TAXP00131,52,490900,Salary,1,1,0,0,0.217,0.141,0.929,Low
TAXP00132,47,241200,Salary,1,1,0,0,0.28,0.221,0.855,Low
TAXP00133,65,1026900,Salary+Business,1,1,0,0,0.148,0.236,0.908,Low
TAXP00134,36,553900,Salary+Business,1,0,0,0,0.044,0.316,0.924,Low
TAXP00135,36,225400,Salary+Investments,0,2,0,0,-0.323,0.133,0.82,Low
TAXP00136,31,312900,Professional,1,0,0,0,-0.095,0.294,0.98,Low
TAXP00137,45,814600,Business,1,1,0,0,0.446,0.243,0.923,Low
TAXP00138,30,1188500,Business,0,2,32200,0,0.286,0.37,0.507,Medium
TAXP00139,26,2737000,Salary,1,0,0,0,0.132,0.418,0.942,Low
TAXP00140,63,5297300,Professional,1,2,0,0,-0.152,0.066,0.889,Low
TAXP00141,51,876000,Business,1,1,0,1,0.202,0.303,0.85,Low
TAXP00142,26,318800,Salary,1,0,0,0,0.056,0.353,0.966,Low
TAXP00143,48,150000,Salary+Investments,1,1,0,0,0.212,0.238,0.844,Low
TAXP00144,34,788200,Salary,1,0,45400,0,-0.078,0.33,0.656,Medium
TAXP00145,29,362000,Salary,0,1,0,2,0.022,0.478,0.641,Medium
TAXP00146,42,482000,Salary,1,0,0,0,0.242,0.25,0.922,Low
TAXP00147,56,418300,Salary+Investments,1,1,87000,0,0.408,0.193,0.475,Medium
TAXP00148,21,587300,Salary+Investments,1,1,17800,1,-0.005,0.244,0.767,Low
TAXP00149,36,1400400,Business,1,0,0,0,-0.06,0.331,0.98,Low
TAXP00150,62,727800,Multiple,1,1,0,1,0.264,0.259,0.873,Low
TAXP00151,38,579800,Salary+Investments,1,3,0,1,-0.102,0.242,0.83,Low
TAXP00152,25,308400,Salary+Investments,1,0,0,2,-0.09,0.165,0.857,Low
TAXP00153,40,194600,Salary+Investments,1,1,0,0,0.143,0.23,0.922,Low
TAXP00154,51,458000,Salary,1,2,0,0,0.434,0.076,0.843,Low
TAXP00155,65,625300,Salary+Business,1,0,0,0,-0.036,0.215,0.95,Low
TAXP00156,49,2321300,Business,1,1,0,0,0.041,0.27,0.881,Low
TAXP00157,23,713900,Salary+Business,1,0,9400,2,0.118,0.344,0.833,Low
TAXP00158,57,1318900,Salary,1,2,0,0,0.024,0.371,0.927,Low
TAXP00159,56,453700,Salary+Business,1,0,0,0,-0.183,0.239,0.894,Low
TAXP00160,50,276900,Multiple,1,3,3300,0,0.228,0.02,0.843,Low
TAXP00161,61,324400,Salary,1,3,0,0,0.13,0.158,0.834,Low
TAXP00162,55,385600,Multiple,1,0,0,0,0.159,0.44,0.905,Low
TAXP00163,31,3009300,Salary,1,1,0,0,0.077,0.096,0.946,Low
TAXP00164,39,359800,Salary,1,0,0,0,0.342,0.347,0.98,Low
TAXP00165,43,1188800,Salary,1,1,0,0,0.019,0.293,0.845,Low
TAXP00166,42,339300,Salary+Business,0,2,0,0,-0.072,0.05,0.793,Low
TAXP00167,49,1271200,Business,1,0,0,0,0.366,0.037,0.906,Low
TAXP00168,52,857600,Salary,1,1,0,0,-0.252,0.483,0.873,Low
TAXP00169,25,580700,Professional,0,1,0,1,0.075,0.13,0.727,Low
TAXP00170,46,631200,Salary,1,0,50000,0,0.088,0.14,0.684,Medium
TAXP00171,22,405700,Business,1,1,7400,0,0.082,0.154,0.905,Low
TAXP00172,44,896200,Salary+Investments,1,1,0,0,-0.148,0.259,0.894,Low
TAXP00173,39,468400,Professional,1,0,0,0,-0.09,0.223,0.899,Low
TAXP00174,30,269000,Salary+Business,1,1,34600,0,0.253,0.251,0.684,Medium
TAXP00175,65,259000,Business,0,1,0,1,0.322,0.257,0.694,Medium
TAXP00176,32,736000,Multiple,1,2,0,0,0.033,0.563,0.82,Low
TAXP00177,23,2026200,Salary,1,0,12800,0,-0.049,0.181,0.912,Low
TAXP00178,37,729400,Salary,0,0,0,1,-0.186,0.227,0.822,Low
TAXP00179,55,596800,Salary,1,1,0,2,0.25,0.447,0.734,Low
TAXP00180,21,798500,Business,1,1,0,0,0.26,0.35,0.919,Low
TAXP00181,43,1664500,Professional,0,2,0,0,-0.35,0.24,0.755,Low
TAXP00182,39,761200,Salary+Business,1,1,0,3,-0.288,0.16,0.765,Low
TAXP00183,59,483500,Salary,0,1,0,0,0.122,0.355,0.838,Low
TAXP00184,21,1441600,Salary,1,1,46000,0,0.143,0.439,0.672,Medium
TAXP00185,21,885100,Professional,1,0,0,0,0.024,0.543,0.967,Low
TAXP00186,46,1964000,Multiple,1,0,11300,0,0.095,0.087,0.973,Low
TAXP00187,29,741700,Salary,1,2,0,0,0.06,0.085,0.934,Low
TAXP00188,52,269200,Salary,1,0,0,0,0.104,0.256,0.965,Low
TAXP00189,33,242700,Salary,1,0,0,0,-0.044,0.32,0.926,Low
TAXP00190,46,2133800,Business,1,2,0,0,0.098,0.581,0.842,Low
TAXP00191,22,2248500,Salary,1,2,0,0,-0.008,0.496,0.891,Low
TAXP00192,52,571200,Salary,1,1,0,0,-0.021,0.269,0.944,Low
TAXP00193,44,493300,Professional,1,1,0,0,-0.199,0.236,0.902,Low
TAXP00194,21,1861600,Salary,1,0,0,0,0.072,0.155,0.936,Low
TAXP00195,32,292900,Salary,1,0,0,1,0.228,0.514,0.848,Low
TAXP00196,23,341300,Salary,1,0,0,0,0.048,0.278,0.957,Low
TAXP00197,23,1032900,Salary+Investments,1,0,0,0,0.043,0.19,0.921,Low
TAXP00198,52,489200,Salary,1,2,0,0,0.301,0.249,0.878,Low
TAXP00199,40,647600,Salary,1,0,112400,0,0.264,0.158,0.426,High
TAXP00200,57,577800,Salary,0,1,69300,1,0.378,0.141,0.395,High
TAXP00201,32,828800,Professional,1,0,0,1,0.461,0.335,0.841,Low
TAXP00202,53,1790700,Salary+Investments,1,1,0,0,0.11,0.331,0.885,Low
TAXP00203,48,693800,Salary,1,0,0,1,-0.085,0.204,0.882,Low
TAXP00204,50,1033400,Salary,1,2,0,0,0.017,0.348,0.87,Low
TAXP00205,58,150000,Salary,1,2,0,0,0.192,0.108,0.875,Low
TAXP00206,52,627600,Professional,0,1,0,0,0.33,0.206,0.796,Low
TAXP00207,54,354200,Multiple,1,1,33500,0,-0.068,0.21,0.782,Low
TAXP00208,54,270300,Business,1,0,14300,0,0.141,0.168,0.896,Low
TAXP00209,41,345400,Salary,1,0,0,0,-0.027,0.136,0.98,Low
TAXP00210,53,511000,Salary+Business,1,1,0,0,0.077,0.264,0.935,Low
TAXP00211,58,1256900,Salary+Business,1,1,0,1,0.074,0.297,0.844,Low
TAXP00212,54,250100,Salary,1,2,0,1,0.161,0.296,0.809,Low
TAXP00213,48,664500,Salary,1,2,0,0,0.425,0.415,0.788,Low
TAXP00214,24,458700,Salary,1,0,0,0,0.176,0.13,0.98,Low
TAXP00215,40,513400,Salary+Business,1,1,0,0,0.031,0.415,0.92,Low
TAXP00216,23,1338000,Professional,1,0,0,0,0.005,0.323,0.98,Low
TAXP00217,25,957600,Professional,1,1,0,0,0.069,0.119,0.968,Low
TAXP00218,37,1702600,Salary+Investments,0,1,0,0,-0.039,0.387,0.766,Low
TAXP00219,41,581600,Salary,1,1,31500,0,0.122,0.466,0.704,Low
TAXP00220,44,393800,Salary,1,0,0,0,-0.286,0.179,0.937,Low
TAXP00221,61,553200,Salary,1,0,0,0,0.066,0.375,0.909,Low
TAXP00222,55,774000,Salary+Investments,0,1,0,0,0.079,0.397,0.766,Low
TAXP00223,40,738100,Business,1,0,0,0,-0.086,0.394,0.949,Low
TAXP00224,36,297700,Salary,1,0,0,0,0.039,0.469,0.923,Low
TAXP00225,53,693800,Salary,1,1,0,0,0.279,0.423,0.917,Low
TAXP00226,33,766100,Salary+Business,0,1,0,2,0.291,0.326,0.736,Low
TAXP00227,60,3982100,Salary+Business,1,0,0,0,0.015,0.585,0.95,Low
TAXP00228,56,2510700,Professional,0,0,0,1,0.184,0.562,0.768,Low
TAXP00229,51,351700,Salary,1,0,0,0,-0.14,0.492,0.934,Low
TAXP00230,32,528500,Salary+Investments,1,1,0,0,0.053,0.316,0.942,Low
TAXP00231,48,226600,Salary+Business,1,0,0,0,0.137,0.559,0.952,Low
TAXP00232,57,424800,Professional,1,0,157800,0,0.344,0.087,0.124,High
TAXP00233,24,815800,Professional,1,0,0,1,0.291,0.133,0.957,Low
TAXP00234,28,1548700,Salary+Investments,1,0,30100,0,0.133,0.195,0.816,Low
TAXP00235,44,384500,Multiple,1,0,0,0,-0.046,0.096,0.98,Low
TAXP00236,37,405900,Business,1,0,0,0,0.317,0.195,0.98,Low
TAXP00237,52,150000,Salary,1,2,0,2,0.046,0.333,0.78,Low
TAXP00238,39,578200,Salary,0,0,0,0,0.172,0.019,0.894,Low
TAXP00239,65,302500,Salary+Business,0,3,0,1,0.08,0.226,0.673,Medium
TAXP00240,34,444000,Professional,1,3,0,0,0.419,0.626,0.765,Low
TAXP00241,37,345700,Salary,0,2,0,0,0.002,0.211,0.837,Low
TAXP00242,21,607300,Salary,1,0,0,0,0.247,0.294,0.915,Low
TAXP00243,32,183400,Salary+Investments,1,1,23000,0,0.086,0.589,0.661,Medium
TAXP00244,31,226000,Salary+Investments,1,0,0,1,0.191,0.286,0.938,Low
TAXP00245,55,3011000,Multiple,1,0,0,0,0.359,0.115,0.98,Low
TAXP00246,36,257200,Business,1,0,0,0,-0.221,0.552,0.956,Low
TAXP00247,30,295100,Salary+Business,1,0,98800,0,0.09,0.294,0.488,Medium
TAXP00248,35,2439500,Salary+Investments,1,1,56100,0,-0.043,0.095,0.577,Medium
TAXP00249,46,5263900,Salary,1,1,0,0,0.171,0.256,0.924,Low
TAXP00250,56,279600,Salary,1,3,0,0,0.211,0.076,0.811,Low
TAXP00251,65,498600,Multiple,1,0,0,0,0.025,0.048,0.948,Low
TAXP00252,23,831200,Salary,1,2,0,0,0.016,0.301,0.834,Low
TAXP00253,58,2256600,Business,1,1,16600,2,0.133,0.134,0.702,Low
TAXP00254,38,319400,Professional,1,0,0,0,-0.104,0.528,0.98,Low
TAXP00255,57,544800,Professional,0,1,7900,0,0.153,0.276,0.719,Low
TAXP00256,22,1137600,Salary,1,0,0,0,-0.031,0.185,0.98,Low
TAXP00257,49,888900,Salary+Business,1,1,4600,1,0.217,0.46,0.758,Low
TAXP00258,62,495800,Salary,1,3,0,0,-0.111,0.107,0.869,Low
TAXP00259,22,590300,Salary+Investments,1,0,0,0,0.009,0.21,0.98,Low
TAXP00260,56,241500,Salary,1,0,0,1,-0.02,0.376,0.908,Low
TAXP00261,26,547600,Professional,0,1,0,0,0.052,0.352,0.77,Low
TAXP00262,65,536600,Salary+Business,1,1,102400,1,0.32,0.515,0.364,High
TAXP00263,54,768300,Salary,1,0,0,0,0.235,0.479,0.95,Low
TAXP00264,61,435800,Salary,0,2,39500,1,0.023,0.116,0.556,Medium
TAXP00265,61,912800,Salary+Business,1,1,0,0,0.023,0.163,0.901,Low
TAXP00266,35,1347700,Salary,1,1,0,0,0.242,0.195,0.936,Low
TAXP00267,39,727000,Salary,1,1,0,0,-0.086,0.8,0.826,Low
TAXP00268,52,837300,Business,1,0,0,0,0.104,0.164,0.98,Low
TAXP00269,28,675400,Multiple,0,1,9500,0,0.003,0.079,0.763,Low
TAXP00270,34,650000,Business,1,0,0,0,0.073,0.458,0.98,Low
TAXP00271,25,386600,Salary,1,0,0,0,0.229,0.361,0.951,Low
TAXP00272,60,816400,Multiple,1,0,0,0,-0.007,0.128,0.98,Low
TAXP00273,32,606000,Business,1,1,12600,1,0.256,0.057,0.761,Low
TAXP00274,39,2933800,Business,1,2,14800,0,0.452,0.198,0.743,Low
TAXP00275,41,2017900,Salary,1,1,10600,0,0.197,0.256,0.851,Low
TAXP00276,37,858200,Salary,1,0,0,0,0.087,0.717,0.885,Low
TAXP00277,56,375200,Salary,1,0,0,0,0.285,0.209,0.977,Low
TAXP00278,62,291800,Professional,1,0,0,0,-0.077,0.138,0.957,Low
TAXP00279,46,1532400,Salary,1,0,21200,0,0.343,0.247,0.845,Low
TAXP00280,58,785400,Professional,1,0,0,0,-0.02,0.223,0.956,Low
TAXP00281,25,918400,Salary,1,2,17600,1,0.447,0.408,0.691,Medium
TAXP00282,64,185100,Salary,0,1,55100,0,-0.015,0.335,0.514,Medium
TAXP00283,26,1267400,Salary,1,0,0,1,0.206,0.224,0.976,Low
TAXP00284,23,901600,Business,0,1,5400,0,-0.15,0.16,0.8,Low
TAXP00285,22,292200,Salary+Business,1,2,0,0,0.066,0.369,0.8,Low
TAXP00286,31,462900,Salary,1,1,0,0,-0.073,0.114,0.939,Low
TAXP00287,58,785900,Salary,1,1,0,0,-0.131,0.106,0.957,Low
TAXP00288,34,675000,Salary,1,2,0,1,0.293,0.054,0.829,Low
TAXP00289,56,526700,Salary+Business,1,1,24100,0,-0.096,0.361,0.838,Low
TAXP00290,40,603300,Salary,1,1,0,0,-0.018,0.371,0.929,Low
TAXP00291,25,542200,Salary+Business,1,0,70700,0,-0.036,0.293,0.594,Medium
TAXP00292,42,725500,Salary,1,0,8300,1,0.282,0.317,0.839,Low
TAXP00293,31,1875200,Salary,1,2,0,1,0.263,0.167,0.809,Low
TAXP00294,34,150000,Salary+Business,1,0,0,0,0.303,0.221,0.904,Low
TAXP00295,44,548100,Business,1,1,0,0,-0.026,0.073,0.965,Low
TAXP00296,56,738100,Salary,1,0,0,0,0.316,0.591,0.972,Low
TAXP00297,47,804400,Multiple,1,1,0,0,-0.027,0.223,0.939,Low
TAXP00298,31,497300,Salary,1,1,4700,0,-0.021,0.728,0.872,Low
TAXP00299,53,183500,Salary,0,2,9400,0,-0.012,0.272,0.701,Low
TAXP00300,52,823100,Salary,0,3,0,0,-0.006,0.218,0.725,Low
TAXP00301,31,2254500,Business,1,0,27400,1,0.085,0.178,0.778,Low
TAXP00302,59,215400,Salary+Business,0,1,0,2,-0.034,0.064,0.719,Low
TAXP00303,58,1210700,Salary,1,0,19800,0,0.137,0.024,0.854,Low
TAXP00304,48,513100,Multiple,1,0,13200,0,-0.318,0.242,0.886,Low
TAXP00305,34,621900,Professional,1,1,3500,1,0.137,0.291,0.838,Low
TAXP00306,36,304600,Multiple,1,0,0,1,-0.074,0.335,0.847,Low
TAXP00307,40,510900,Salary+Business,1,1,3100,1,-0.007,0.297,0.912,Low
TAXP00308,29,1657400,Multiple,1,0,0,0,-0.003,0.504,0.94,Low
TAXP00309,34,988800,Professional,1,1,0,0,0.251,0.226,0.917,Low
TAXP00310,27,2262500,Salary,1,1,0,0,0.181,0.238,0.914,Low
TAXP00311,27,1517300,Business,1,1,0,0,0.074,0.276,0.898,Low
TAXP00312,54,891700,Professional,1,0,0,1,-0.014,0.387,0.937,Low
TAXP00313,26,2281500,Business,0,0,0,1,0.225,0.552,0.779,Low
TAXP00314,42,891600,Salary+Business,1,1,10300,0,0.387,0.079,0.841,Low
TAXP00315,40,1179800,Salary,1,0,0,0,0.096,0.095,0.98,Low
TAXP00316,23,525000,Salary+Investments,1,1,9800,0,-0.156,0.074,0.917,Low
TAXP00317,58,681900,Salary,1,1,19300,0,-0.012,0.349,0.788,Low
TAXP00318,65,393400,Multiple,1,0,0,0,0.189,0.151,0.949,Low
TAXP00319,49,1325400,Salary,0,1,2200,0,0.029,0.293,0.783,Low
TAXP00320,51,278300,Salary,1,0,0,0,-0.037,0.133,0.968,Low
TAXP00321,31,1141700,Salary+Business,1,0,0,0,-0.044,0.501,0.925,Low
TAXP00322,58,566600,Salary+Business,1,0,5300,0,0.115,0.401,0.926,Low
TAXP00323,56,1510600,Salary+Business,1,1,19300,0,-0.145,0.306,0.801,Low
TAXP00324,40,1116100,Multiple,1,1,0,0,0.094,0.361,0.951,Low
TAXP00325,52,2411100,Salary,1,0,16300,0,0.114,0.191,0.895,Low
TAXP00326,63,1100100,Salary+Investments,1,0,0,1,0.028,0.456,0.867,Low
TAXP00327,48,209600,Salary,1,1,16300,0,-0.067,0.344,0.752,Low
TAXP00328,29,619400,Business,1,1,0,1,0.263,0.496,0.831,Low
TAXP00329,35,279500,Business,1,0,0,1,-0.113,0.083,0.964,Low
TAXP00330,29,447600,Salary,1,1,52800,1,0.128,0.194,0.614,Medium
TAXP00331,35,1929600,Business,1,1,0,0,0.216,0.157,0.973,Low
TAXP00332,61,1028600,Salary+Business,1,0,0,0,0.126,0.155,0.951,Low
TAXP00333,29,393000,Salary,1,0,55300,0,0.297,0.043,0.689,Medium
TAXP00334,61,313300,Multiple,1,0,6500,0,-0.082,0.409,0.952,Low
TAXP00335,33,665500,Business,1,2,0,0,-0.027,0.105,0.899,Low
TAXP00336,43,270700,Salary,0,1,6400,0,0.026,0.206,0.751,Low
TAXP00337,44,400900,Professional,0,1,0,1,0.627,0.359,0.706,Low
TAXP00338,26,813700,Salary,1,1,0,0,0.181,0.313,0.933,Low
TAXP00339,29,1493400,Salary,0,2,0,0,0.211,0.268,0.709,Low
TAXP00340,34,1007600,Professional,1,1,0,0,0.205,0.138,0.913,Low
TAXP00341,23,150000,Salary,1,1,0,0,0.113,0.205,0.95,Low
