transaction_id,profile_id,transaction_amount,transaction_type,merchant_category,payment_method,city,transaction_frequency,location_risk_score,device_risk_score,anomaly_score,is_anomaly
TXN000053,TAXP01495,101.0,transfer,utilities,UPI,Hyderabad,3,0.067,0.267,0.153,0
TXN000054,TAXP03230,378.47,deposit,utilities,UPI,Chennai,7,0.1,0.241,0.07,0
TXN000055,TAXP02921,133.66,purchase,groceries,UPI,Ahmedabad,2,0.353,0.36,0.169,0
TXN000056,TAXP03591,219.1,merchant_payment,electronics,card,Bengaluru,1,0.272,0.269,0.156,0
TXN000057,TAXP00352,537.13,transfer,restaurants,bank_transfer,Delhi,4,0.26,0.178,0.143,0
TXN000058,TAXP02459,90.16,merchant_payment,groceries,card,Pune,4,0.257,0.193,0.103,0
TXN000059,TAXP01132,1795.26,purchase,retail,UPI,Hyderabad,5,0.19,0.107,0.129,0
TXN000060,TAXP00593,835.84,cash_withdrawal,healthcare,card,Mumbai,3,0.126,0.025,0.028,0
TXN000061,TAXP02617,331.25,merchant_payment,restaurants,UPI,Hyderabad,2,0.264,0.112,0.117,0
TXN000062,TAXP02242,381.01,purchase,groceries,bank_transfer,Kolkata,5,0.036,0.248,0.0,0
TXN000063,TAXP02247,54.34,cash_withdrawal,travel,bank_transfer,Kolkata,6,0.19,0.059,0.106,0
TXN000064,TAXP01874,94.67,deposit,online_services,UPI,Kolkata,6,0.274,0.251,0.164,0
TXN000065,TAXP01539,181.68,purchase,online_services,bank_transfer,Mumbai,6,0.02,0.175,0.112,0
TXN000066,TAXP00143,203.84,transfer,groceries,UPI,Kolkata,3,0.115,0.186,0.192,0
TXN000067,TAXP02969,132.63,cash_withdrawal,retail,UPI,Mumbai,4,0.523,0.076,0.114,0
TXN000068,TAXP04557,362.82,purchase,restaurants,card,Ahmedabad,4,0.139,0.205,0.089,0
TXN000069,TAXP02437,50.0,merchant_payment,online_services,cash,Delhi,3,0.209,0.165,0.109,0
TXN000070,TAXP01443,58.76,transfer,restaurants,UPI,Chennai,7,0.229,0.133,0.266,1
TXN000071,TAXP01513,180.64,transfer,travel,cash,Kolkata,3,0.147,0.622,0.312,1
TXN000072,TAXP01283,50.0,purchase,retail,bank_transfer,Delhi,3,0.156,0.291,0.142,0
TXN000073,TAXP02179,51.68,transfer,electronics,bank_transfer,Mumbai,4,0.471,0.23,0.251,1
TXN000074,TAXP00260,110.62,merchant_payment,utilities,card,Kolkata,3,0.118,0.098,0.097,0
TXN000075,TAXP01158,898.59,purchase,healthcare,bank_transfer,Kolkata,5,0.062,0.08,0.079,0
TXN000076,TAXP04721,148.18,cash_withdrawal,utilities,UPI,Mumbai,5,0.173,0.055,0.107,0
TXN000077,TAXP02249,269.27,merchant_payment,groceries,UPI,Kolkata,5,0.127,0.369,0.159,0
TXN000078,TAXP00227,3412.61,bill_payment,online_services,bank_transfer,Chennai,4,0.06,0.148,0.127,0
TXN000079,TAXP00052,433.99,cash_withdrawal,financial_services,UPI,Pune,1,0.334,0.367,0.175,0
TXN000080,TAXP04881,1955.33,purchase,electronics,wallet,Ahmedabad,3,0.159,0.252,0.087,0
TXN000081,TAXP03926,880.8,transfer,online_services,wallet,Chennai,3,0.07,0.13,0.093,0
TXN000082,TAXP01301,649.85,transfer,groceries,cash,Hyderabad,2,0.38,0.08,0.12,0
TXN000083,TAXP01638,349.52,purchase,travel,bank_transfer,Kolkata,3,0.193,0.118,0.121,0
TXN000084,TAXP03786,74.09,transfer,restaurants,UPI,Bengaluru,2,0.169,0.079,0.169,0
TXN000085,TAXP03227,50.0,purchase,retail,bank_transfer,Hyderabad,5,0.26,0.041,0.09,0
TXN000086,TAXP03321,50.0,purchase,online_services,card,Delhi,7,0.452,0.175,0.063,0
TXN000087,TAXP01839,697.51,merchant_payment,restaurants,UPI,Delhi,4,0.07,0.09,0.084,0
TXN000088,TAXP04205,470.92,merchant_payment,education,card,Ahmedabad,2,0.446,0.092,0.115,0
TXN000089,TAXP03570,425.98,merchant_payment,financial_services,card,Kolkata,5,0.244,0.203,0.019,0
TXN000090,TAXP03654,869.2,deposit,restaurants,UPI,Delhi,4,0.11,0.066,0.078,0
TXN000091,TAXP00973,105.89,merchant_payment,healthcare,cash,Chennai,3,0.102,0.342,0.169,0
TXN000092,TAXP01491,1022.96,purchase,groceries,cash,Pune,3,0.197,0.542,0.212,0
TXN000093,TAXP01779,78.27,merchant_payment,retail,UPI,Mumbai,3,0.301,0.233,0.109,0
TXN000094,TAXP01499,1702.12,bill_payment,groceries,bank_transfer,Chennai,3,0.137,0.159,0.078,0
TXN000095,TAXP00990,155.13,cash_withdrawal,utilities,wallet,Mumbai,5,0.525,0.092,0.097,0
TXN000096,TAXP03390,344.14,bill_payment,online_services,bank_transfer,Ahmedabad,3,0.09,0.292,0.08,0
TXN000097,TAXP03272,50.0,merchant_payment,groceries,card,Bengaluru,3,0.274,0.362,0.081,0
TXN000098,TAXP02742,1248.6,purchase,utilities,cash,Ahmedabad,4,0.176,0.343,0.183,0
TXN000099,TAXP03085,223.07,transfer,groceries,UPI,Pune,3,0.438,0.335,0.25,1
TXN000100,TAXP04855,219.11,cash_withdrawal,online_services,UPI,Bengaluru,6,0.163,0.262,0.077,0
TXN000101,TAXP00326,769.33,purchase,financial_services,wallet,Mumbai,4,0.42,0.092,0.071,0
TXN000102,TAXP03390,148.16,purchase,education,card,Mumbai,5,0.159,0.132,0.101,0
TXN000103,TAXP04053,4847.48,cash_withdrawal,restaurants,card,Bengaluru,2,0.53,0.073,0.254,1
TXN000104,TAXP02169,388.24,purchase,education,card,Bengaluru,5,0.147,0.285,0.08,0
TXN000105,TAXP01518,10476.77,cash_withdrawal,online_services,UPI,Pune,3,0.113,0.293,0.227,0
TXN000106,TAXP02737,1231.93,transfer,restaurants,UPI,Mumbai,2,0.174,0.182,0.035,0
TXN000107,TAXP03821,50.0,purchase,financial_services,UPI,Hyderabad,9,0.205,0.408,0.177,0
TXN000108,TAXP04349,1900.29,transfer,healthcare,UPI,Ahmedabad,6,0.487,0.354,0.203,0
TXN000109,TAXP03332,637.85,purchase,restaurants,card,Delhi,4,0.053,0.045,0.08,0
TXN000110,TAXP03240,50.0,bill_payment,financial_services,card,Bengaluru,5,0.18,0.04,0.046,0
TXN000111,TAXP04491,241.72,deposit,online_services,wallet,Kolkata,3,0.242,0.495,0.07,0
TXN000112,TAXP02652,281.54,merchant_payment,online_services,cash,Mumbai,5,0.097,0.203,0.076,0
TXN000113,TAXP01773,50.0,purchase,restaurants,UPI,Hyderabad,5,0.143,0.371,0.071,0
TXN000114,TAXP00929,126.41,cash_withdrawal,education,UPI,Hyderabad,2,0.343,0.17,0.098,0
TXN000115,TAXP00657,112.85,purchase,electronics,bank_transfer,Chennai,4,0.18,0.099,0.064,0
TXN000116,TAXP01829,829.39,merchant_payment,groceries,card,Bengaluru,10,0.137,0.377,0.294,1
TXN000117,TAXP00141,125.02,merchant_payment,electronics,UPI,Hyderabad,8,0.273,0.262,0.344,1
TXN000118,TAXP03212,920.14,bill_payment,restaurants,card,Kolkata,4,0.257,0.424,0.238,0
TXN000119,TAXP04397,127.66,transfer,education,card,Hyderabad,4,0.352,0.299,0.227,0
TXN000120,TAXP03227,172.51,deposit,groceries,card,Kolkata,4,0.03,0.233,0.015,0
TXN000121,TAXP04896,142.28,bill_payment,retail,UPI,Mumbai,3,0.074,0.061,0.024,0
TXN000122,TAXP04627,50.0,transfer,travel,UPI,Delhi,3,0.224,0.165,0.069,0
TXN000123,TAXP02972,144.38,transfer,electronics,card,Hyderabad,4,0.179,0.24,0.084,0
TXN000124,TAXP00638,67.87,merchant_payment,healthcare,wallet,Mumbai,5,0.231,0.024,0.036,0
TXN000125,TAXP00971,388.21,transfer,healthcare,card,Pune,7,0.144,0.042,0.0,0
TXN000126,TAXP01753,158.1,transfer,restaurants,wallet,Hyderabad,4,0.317,0.091,0.264,1
TXN000127,TAXP00839,1541.82,purchase,online_services,bank_transfer,Pune,3,0.192,0.18,0.085,0
TXN000128,TAXP02054,5736.69,transfer,retail,bank_transfer,Bengaluru,4,0.073,0.471,0.265,1
TXN000129,TAXP04978,50.0,merchant_payment,restaurants,wallet,Hyderabad,11,0.306,0.398,0.209,0
TXN000130,TAXP04984,4073.44,cash_withdrawal,utilities,bank_transfer,Chennai,5,0.332,0.234,0.207,0
TXN000131,TAXP03769,90.69,transfer,healthcare,UPI,Pune,4,0.081,0.23,0.144,0
TXN000132,TAXP03085,50.0,bill_payment,financial_services,bank_transfer,Mumbai,3,0.211,0.086,0.11,0
TXN000133,TAXP04285,50.0,bill_payment,healthcare,card,Mumbai,2,0.163,0.335,0.139,0
TXN000134,TAXP04803,155.91,merchant_payment,education,card,Hyderabad,10,0.171,0.034,0.158,0
TXN000135,TAXP04268,1107.34,bill_payment,financial_services,UPI,Ahmedabad,4,0.079,0.081,0.044,0
TXN000136,TAXP03278,55.1,bill_payment,utilities,bank_transfer,Bengaluru,3,0.265,0.165,0.049,0
TXN000137,TAXP02415,256.08,bill_payment,retail,card,Mumbai,6,0.169,0.262,0.097,0
TXN000138,TAXP01844,251.36,transfer,groceries,UPI,Ahmedabad,3,0.129,0.111,0.103,0
TXN000139,TAXP02177,50.0,deposit,groceries,bank_transfer,Bengaluru,4,0.154,0.258,0.0,0
TXN000140,TAXP00788,133.26,cash_withdrawal,retail,card,Bengaluru,5,0.159,0.173,0.048,0
TXN000141,TAXP01293,77.15,purchase,healthcare,UPI,Ahmedabad,4,0.425,0.404,0.124,0
TXN000142,TAXP03837,149.44,merchant_payment,healthcare,wallet,Pune,2,0.126,0.127,0.108,0
TXN000143,TAXP03221,1665.77,transfer,travel,UPI,Mumbai,4,0.332,0.33,0.21,0
TXN000144,TAXP01561,744.2,purchase,groceries,UPI,Ahmedabad,2,0.083,0.075,0.141,0
TXN000145,TAXP02557,215.67,cash_withdrawal,groceries,card,Mumbai,4,0.139,0.247,0.042,0
TXN000146,TAXP01834,882.62,merchant_payment,online_services,bank_transfer,Chennai,9,0.194,0.231,0.297,1
TXN000147,TAXP01177,229.07,transfer,retail,card,Mumbai,6,0.288,0.353,0.167,0
TXN000148,TAXP00515,482.63,deposit,restaurants,cash,Delhi,2,0.158,0.061,0.104,0
TXN000149,TAXP02646,195.14,cash_withdrawal,restaurants,bank_transfer,Bengaluru,4,0.112,0.343,0.074,0
TXN000150,TAXP03165,3194.74,purchase,travel,card,Bengaluru,2,0.296,0.21,0.123,0
TXN000151,TAXP00007,120.69,deposit,groceries,card,Ahmedabad,2,0.318,0.326,0.081,0
TXN000152,TAXP00193,50.0,merchant_payment,restaurants,UPI,Kolkata,1,0.329,0.049,0.124,0
TXN000153,TAXP00923,244.48,bill_payment,restaurants,cash,Pune,5,0.351,0.309,0.133,0
TXN000154,TAXP03762,2107.01,transfer,utilities,card,Ahmedabad,4,0.267,0.051,0.225,0
TXN000155,TAXP03690,1705.28,bill_payment,healthcare,bank_transfer,Kolkata,5,0.187,0.534,0.162,0
TXN000156,TAXP02066,52.31,bill_payment,education,card,Delhi,5,0.048,0.102,0.028,0
TXN000157,TAXP04990,302.12,bill_payment,restaurants,cash,Bengaluru,3,0.089,0.054,0.0,0
TXN000158,TAXP02513,62.34,purchase,travel,bank_transfer,Ahmedabad,3,0.144,0.065,0.103,0
TXN000159,TAXP03308,1425.28,transfer,online_services,cash,Delhi,3,0.234,0.045,0.16,0
TXN000160,TAXP02665,455.91,transfer,education,bank_transfer,Bengaluru,5,0.066,0.215,0.052,0
TXN000161,TAXP04661,50.0,bill_payment,financial_services,wallet,Delhi,6,0.448,0.37,0.138,0
TXN000162,TAXP00629,475.42,cash_withdrawal,groceries,card,Hyderabad,5,0.43,0.234,0.15,0
TXN000163,TAXP00265,370.83,merchant_payment,restaurants,UPI,Pune,3,0.415,0.301,0.045,0
TXN000164,TAXP02744,280.2,deposit,utilities,bank_transfer,Kolkata,1,0.265,0.216,0.082,0
TXN000165,TAXP03299,199.45,merchant_payment,groceries,cash,Bengaluru,3,0.501,0.179,0.124,0
TXN000166,TAXP04207,1512.01,purchase,retail,card,Hyderabad,2,0.31,0.115,0.122,0
TXN000167,TAXP02432,3679.62,purchase,restaurants,UPI,Delhi,3,0.126,0.326,0.123,0
TXN000168,TAXP00823,113.25,merchant_payment,utilities,bank_transfer,Pune,4,0.345,0.275,0.018,0
TXN000169,TAXP01777,264.42,merchant_payment,financial_services,cash,Ahmedabad,3,0.419,0.118,0.095,0
TXN000170,TAXP03927,1377.91,cash_withdrawal,electronics,card,Delhi,6,0.172,0.262,0.261,1
TXN000171,TAXP01412,15155.19,cash_withdrawal,electronics,bank_transfer,Pune,5,0.108,0.288,0.029,0
TXN000172,TAXP04314,50.0,transfer,travel,bank_transfer,Mumbai,2,0.151,0.138,0.172,0
TXN000173,TAXP00581,199.04,bill_payment,travel,UPI,Pune,2,0.154,0.201,0.115,0
TXN000174,TAXP02111,939.43,bill_payment,travel,UPI,Kolkata,4,0.099,0.068,0.01,0
TXN000175,TAXP03580,563.89,bill_payment,online_services,wallet,Kolkata,4,0.47,0.335,0.219,0
TXN000176,TAXP01757,460.98,purchase,online_services,card,Kolkata,2,0.396,0.174,0.199,0
TXN000177,TAXP03333,126.19,cash_withdrawal,healthcare,card,Bengaluru,5,0.161,0.122,0.1,0
TXN000178,TAXP04913,216.17,bill_payment,healthcare,UPI,Hyderabad,4,0.131,0.249,0.156,0
TXN000179,TAXP00215,50.0,bill_payment,groceries,UPI,Bengaluru,3,0.134,0.467,0.267,1
TXN000180,TAXP00161,103.45,purchase,groceries,card,Mumbai,4,0.17,0.25,0.031,0
TXN000181,TAXP03015,442.54,transfer,travel,card,Pune,3,0.157,0.223,0.214,0
TXN000182,TAXP04753,108.41,transfer,retail,card,Ahmedabad,2,0.232,0.209,0.126,0
TXN000183,TAXP02436,762.07,bill_payment,restaurants,card,Mumbai,5,0.139,0.214,0.129,0
TXN000184,TAXP02296,636.85,cash_withdrawal,retail,UPI,Ahmedabad,7,0.424,0.116,0.088,0
TXN000185,TAXP01114,1464.16,bill_payment,financial_services,card,Hyderabad,6,0.224,0.109,0.28,1
TXN000186,TAXP01791,217.44,transfer,healthcare,card,Hyderabad,2,0.132,0.232,0.187,0
TXN000187,TAXP00016,237.96,cash_withdrawal,utilities,UPI,Mumbai,5,0.077,0.092,0.094,0
TXN000188,TAXP02614,5126.59,merchant_payment,education,bank_transfer,Ahmedabad,6,0.186,0.339,0.166,0
TXN000189,TAXP04092,237.05,bill_payment,groceries,card,Bengaluru,3,0.167,0.397,0.186,0
TXN000190,TAXP03925,50.0,purchase,retail,cash,Hyderabad,1,0.183,0.089,0.094,0
TXN000191,TAXP02187,130.25,cash_withdrawal,retail,bank_transfer,Hyderabad,3,0.042,0.173,0.064,0
TXN000192,TAXP02172,446.59,purchase,utilities,bank_transfer,Delhi,4,0.144,0.346,0.104,0
TXN000193,TAXP03417,74.03,purchase,groceries,UPI,Kolkata,4,0.194,0.419,0.21,0
TXN000194,TAXP04686,97.75,purchase,electronics,card,Chennai,4,0.057,0.041,0.042,0
TXN000195,TAXP03729,2856.05,merchant_payment,financial_services,UPI,Hyderabad,5,0.584,0.073,0.253,1
TXN000196,TAXP02469,94.56,cash_withdrawal,restaurants,bank_transfer,Pune,2,0.225,0.185,0.0,0
TXN000197,TAXP04557,200.84,transfer,utilities,bank_transfer,Hyderabad,5,0.338,0.036,0.166,0
TXN000198,TAXP04936,380.5,purchase,healthcare,bank_transfer,Hyderabad,1,0.212,0.221,0.158,0
TXN000199,TAXP03606,219.45,purchase,healthcare,card,Mumbai,4,0.348,0.092,0.108,0
TXN000200,TAXP04521,198.15,transfer,retail,UPI,Pune,5,0.171,0.165,0.157,0
TXN000201,TAXP04708,562.93,merchant_payment,retail,UPI,Ahmedabad,1,0.565,0.302,0.155,0
TXN000202,TAXP02849,19303.11,purchase,financial_services,cash,Ahmedabad,3,0.345,0.231,0.197,0
TXN000203,TAXP01444,61.15,bill_payment,healthcare,card,Kolkata,4,0.432,0.269,0.168,0
TXN000204,TAXP03683,6602.86,transfer,financial_services,bank_transfer,Bengaluru,7,0.204,0.125,0.164,0
TXN000205,TAXP00812,160.54,merchant_payment,financial_services,cash,Mumbai,6,0.059,0.24,0.109,0
TXN000206,TAXP01651,50.0,bill_payment,groceries,card,Kolkata,2,0.386,0.324,0.316,1
TXN000207,TAXP01966,59.37,transfer,education,UPI,Ahmedabad,5,0.172,0.024,0.258,1
TXN000208,TAXP04260,126.17,transfer,groceries,bank_transfer,Hyderabad,5,0.295,0.37,0.14,0
TXN000209,TAXP02160,260.02,purchase,online_services,bank_transfer,Kolkata,2,0.07,0.189,0.056,0
TXN000210,TAXP03128,810.84,merchant_payment,retail,UPI,Chennai,4,0.102,0.23,0.153,0
TXN000211,TAXP04343,171.88,cash_withdrawal,retail,bank_transfer,Ahmedabad,2,0.1,0.28,0.048,0
TXN000212,TAXP00667,361.34,purchase,online_services,bank_transfer,Kolkata,4,0.189,0.264,0.034,0
TXN000213,TAXP03414,771.53,purchase,restaurants,card,Bengaluru,3,0.344,0.24,0.264,1
TXN000214,TAXP03405,62.09,merchant_payment,retail,UPI,Ahmedabad,1,0.256,0.067,0.042,0
TXN000215,TAXP02745,1434.8,bill_payment,online_services,wallet,Delhi,3,0.181,0.3,0.251,1
TXN000216,TAXP04535,841.07,bill_payment,travel,UPI,Hyderabad,4,0.436,0.276,0.23,0
TXN000217,TAXP02640,50.0,cash_withdrawal,retail,UPI,Ahmedabad,1,0.139,0.151,0.082,0
TXN000218,TAXP00774,4983.78,purchase,restaurants,UPI,Chennai,5,0.148,0.269,0.106,0
TXN000219,TAXP03376,177.46,transfer,healthcare,UPI,Pune,4,0.217,0.246,0.143,0
TXN000220,TAXP02064,130.79,purchase,utilities,bank_transfer,Pune,3,0.297,0.141,0.092,0
TXN000221,TAXP04958,291.51,cash_withdrawal,travel,UPI,Kolkata,4,0.248,0.035,0.0,0
TXN000222,TAXP04075,361.43,cash_withdrawal,online_services,UPI,Bengaluru,3,0.121,0.157,0.109,0
TXN000223,TAXP00673,349.77,transfer,electronics,UPI,Hyderabad,2,0.192,0.374,0.243,0
TXN000224,TAXP01837,268.64,bill_payment,groceries,cash,Pune,8,0.672,0.227,0.327,1
TXN000225,TAXP00771,653.21,transfer,groceries,card,Bengaluru,6,0.321,0.325,0.161,0
TXN000226,TAXP04524,57.94,deposit,restaurants,UPI,Pune,3,0.232,0.085,0.025,0
TXN000227,TAXP00153,73.54,purchase,education,card,Delhi,2,0.295,0.203,0.163,0
TXN000228,TAXP01997,832.78,deposit,utilities,card,Bengaluru,4,0.133,0.034,0.135,0
TXN000229,TAXP01010,56.25,transfer,groceries,card,Bengaluru,5,0.099,0.196,0.11,0
TXN000230,TAXP02244,341.39,purchase,financial_services,wallet,Pune,3,0.129,0.123,0.017,0
TXN000231,TAXP03980,6011.55,cash_withdrawal,healthcare,cash,Bengaluru,3,0.248,0.157,0.118,0
TXN000232,TAXP00117,121.23,purchase,online_services,UPI,Mumbai,2,0.291,0.201,0.165,0
TXN000233,TAXP01294,344.37,transfer,online_services,wallet,Kolkata,5,0.101,0.34,0.265,1
TXN000234,TAXP04200,200.12,purchase,groceries,UPI,Kolkata,7,0.135,0.088,0.156,0
TXN000235,TAXP01439,50.0,transfer,electronics,cash,Kolkata,4,0.224,0.264,0.13,0
TXN000236,TAXP01519,2362.16,merchant_payment,electronics,UPI,Pune,8,0.059,0.173,0.306,1
TXN000237,TAXP01388,275.56,transfer,financial_services,card,Kolkata,3,0.422,0.125,0.18,0
TXN000238,TAXP03443,540.12,merchant_payment,healthcare,bank_transfer,Bengaluru,2,0.219,0.125,0.041,0
TXN000239,TAXP04445,168.49,bill_payment,education,cash,Hyderabad,5,0.237,0.063,0.024,0
TXN000240,TAXP01847,156.87,purchase,travel,card,Ahmedabad,3,0.191,0.176,0.146,0
TXN000241,TAXP04852,241.51,purchase,education,bank_transfer,Chennai,4,0.244,0.051,0.054,0
TXN000242,TAXP00748,112.21,transfer,groceries,card,Kolkata,2,0.218,0.161,0.18,0
TXN000243,TAXP04379,1492.5,bill_payment,healthcare,card,Pune,2,0.44,0.179,0.158,0
TXN000244,TAXP01747,691.72,purchase,restaurants,bank_transfer,Hyderabad,5,0.231,0.11,0.06,0
TXN000245,TAXP00831,119.26,bill_payment,healthcare,wallet,Chennai,4,0.187,0.431,0.121,0
TXN000246,TAXP03424,306.89,merchant_payment,retail,card,Mumbai,6,0.197,0.334,0.092,0
TXN000247,TAXP01239,104.74,merchant_payment,education,card,Delhi,5,0.183,0.109,0.08,0
TXN000248,TAXP00683,5520.89,transfer,online_services,card,Delhi,5,0.258,0.236,0.185,0
TXN000249,TAXP02434,50.0,purchase,utilities,card,Chennai,7,0.164,0.279,0.228,0
TXN000250,TAXP00873,612.72,transfer,groceries,cash,Ahmedabad,2,0.397,0.315,0.266,1
TXN000251,TAXP02591,50.0,cash_withdrawal,healthcare,card,Hyderabad,4,0.104,0.243,0.134,0
TXN000252,TAXP04680,187.35,bill_payment,healthcare,bank_transfer,Kolkata,4,0.141,0.178,0.129,0
TXN000253,TAXP00014,636.96,transfer,utilities,cash,Delhi,4,0.132,0.435,0.181,0
TXN000254,TAXP01799,1093.34,merchant_payment,education,bank_transfer,Hyderabad,3,0.176,0.275,0.187,0
TXN000255,TAXP03102,50.0,purchase,retail,UPI,Bengaluru,4,0.242,0.215,0.094,0
TXN000256,TAXP02425,184.75,purchase,healthcare,cash,Bengaluru,3,0.101,0.319,0.0,0
TXN000257,TAXP02947,411.95,bill_payment,education,card,Mumbai,4,0.108,0.175,0.113,0
TXN000258,TAXP00115,207.2,bill_payment,retail,UPI,Delhi,4,0.022,0.306,0.143,0
TXN000259,TAXP02656,234.6,purchase,online_services,cash,Ahmedabad,2,0.153,0.287,0.085,0
TXN000260,TAXP03322,1988.15,purchase,electronics,UPI,Chennai,2,0.31,0.3,0.163,0
TXN000261,TAXP02999,282.7,transfer,utilities,card,Delhi,1,0.088,0.003,0.105,0
TXN000262,TAXP00214,50.0,bill_payment,retail,UPI,Kolkata,4,0.329,0.104,0.003,0
